date,ward,night_index,day_index,delta,viirs_mean,osm_poi,bkash_volume
2022-01-01,Dhaka,25.75,,,,,
2022-02-01,Dhaka,26.25,,,,,
2022-03-01,Dhaka,30.24,,,,,
2022-04-01,Dhaka,29.84,,,,,
2022-05-01,Dhaka,27.48,,,,,
2022-06-01,Dhaka,23.61,,,,,
2022-07-01,Dhaka,25.14,,,,,
2022-08-01,Dhaka,21.9,,,,,
2022-09-01,Dhaka,23.69,,,,,
2022-10-01,Dhaka,21.96,,,,,
2022-11-01,Dhaka,25.3,,,,,
2022-12-01,Dhaka,25.76,,,,,
2023-01-01,Dhaka,26.68,,,,,
2023-02-01,Dhaka,29.31,,,,,
2023-03-01,Dhaka,28.26,,,,,
2023-04-01,Dhaka,31.99,,,,,
2023-05-01,Dhaka,28.28,,,,,
2023-06-01,Dhaka,25.65,,,,,
2023-07-01,Dhaka,23.71,,,,,
2023-08-01,Dhaka,26.31,,,,,
2023-09-01,Dhaka,23.68,,,,,
2023-10-01,Dhaka,24.78,,,,,
2023-11-01,Dhaka,26.83,,,,,
2023-12-01,Dhaka,29.37,,,,,
2024-01-01,Dhaka,31.41,,,,,
2024-02-01,Dhaka,29.8,,,,,
2024-03-01,Dhaka,33.91,,,,,
2024-04-01,Dhaka,31.21,,,,,
2024-05-01,Dhaka,30.9,,,,,
2024-06-01,Dhaka,26.48,,,,,
2024-07-01,Dhaka,24.94,,,,,
2024-08-01,Dhaka,26.99,,,,,
2024-09-01,Dhaka,26.13,,,,,
2024-10-01,Dhaka,25.15,,,,,
2024-11-01,Dhaka,28.25,,,,,
2024-12-01,Dhaka,26.14,,,,,
2025-01-01,Dhaka,33.09,,,,,
2025-02-01,Dhaka,34.84,,,,,
2025-03-01,Dhaka,34.27,,,,,
2025-04-01,Dhaka,32.0,,,,,
2025-05-01,Dhaka,29.56,,,,,
2025-06-01,Dhaka,29.66,,,,,
2025-07-01,Dhaka,31.44,,,,,
2025-08-01,Dhaka,27.27,,,,,
2025-09-01,Dhaka,25.27,,,,,
